@relation iots-weka.filters.unsupervised.instance.RemoveWithValues-S100.0-C11-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S100.0-C12-Lfirst-last-V-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R10-14

@attribute decision {0,1}
@attribute comfort numeric
@attribute useful numeric
@attribute risk numeric
@attribute appropriate numeric
@attribute expected numeric
@attribute default numeric
@attribute framing numeric
@attribute ask.reason numeric
@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute collectionf {remrecoshr,remshr,remserv,remoptishr,reminsi,remreco,locopti,reminsishr,locinsi,remopti,locally,locreco}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}

@data
1,3,3,2,2,3,0,2,0,assis,opauto,remserv,watch,remserv,nothing
0,-1,-2,-1,-2,-1,0,2,0,hvac,alert,remopti,locsens,remserv,opti
1,1,2,1,2,2,0,2,0,secu,opauto,remrecoshr,cohvac,share,reco
0,-1,-2,-1,-2,-2,0,2,1,refr,lochouse,locreco,coalarm,locally,reco
0,-2,-2,-1,-2,-2,0,2,1,alarm,lochouse,reminsishr,corefri,share,insight
1,1,2,0,1,-1,0,2,0,secu,preshouse,locinsi,cotv,locally,insight
1,2,2,2,2,1,0,2,1,tv,opauto,locally,colight,locally,nothing
0,-1,-2,-1,-2,-1,0,2,1,light,lochouse,remreco,micro,remserv,reco
0,-2,-2,-2,-2,-2,1,0,1,wash,lochouse,remshr,cowash,share,nothing
0,-2,-2,-2,-2,-2,1,0,0,tv,alert,remreco,micro,remserv,reco
0,-2,-2,-2,-2,-2,1,0,1,assis,opauto,reminsi,cam,remserv,insight
0,-2,-1,-2,-1,0,1,0,0,hvac,preshouse,remrecoshr,cohvac,share,reco
0,-2,-2,-2,-2,0,1,0,0,alarm,preshouse,remserv,watch,remserv,nothing
0,-2,-2,-2,-1,0,1,0,0,wash,alert,locreco,coalarm,locally,reco
0,-2,-2,-2,-2,0,1,0,1,hvac,opauto,locinsi,cotv,locally,insight
0,-2,0,-2,-1,0,1,0,0,light,lochouse,remopti,locsens,remserv,opti
0,-2,-1,-2,-1,0,1,0,0,secu,preshouse,locally,colight,locally,nothing
0,-2,-2,-2,-2,-1,1,0,0,refr,lochouse,locopti,coassis,locally,opti
0,-2,0,-2,0,1,1,0,0,refr,alert,reminsishr,corefri,share,insight
0,-2,-1,-2,-1,1,1,0,1,secu,opauto,remoptishr,cosecu,share,opti
1,2,2,2,2,1,1,1,1,tv,alert,remoptishr,cotv,share,opti
1,3,3,2,2,2,1,1,0,tv,lochouse,locally,micro,locally,nothing
1,1,1,2,2,1,1,1,0,alarm,opauto,locopti,watch,locally,opti
1,-2,2,-1,3,-2,1,1,1,refr,opauto,remshr,cam,share,nothing
1,2,2,2,2,2,1,1,1,secu,alert,locinsi,cosecu,locally,insight
1,3,3,3,3,2,1,1,0,hvac,opauto,remopti,cohvac,remserv,opti
1,2,2,2,2,1,1,1,0,assis,lochouse,remserv,coassis,remserv,nothing
1,3,2,2,2,2,1,1,1,wash,alert,reminsi,cowash,remserv,insight
1,1,1,-1,1,2,1,1,0,secu,lochouse,remrecoshr,locsens,share,reco
1,1,1,-1,1,-1,1,1,0,refr,preshouse,locreco,corefri,locally,reco
1,2,2,2,2,2,1,1,0,alarm,preshouse,reminsishr,coalarm,share,insight
1,1,1,-1,3,1,1,1,0,light,preshouse,remreco,colight,remserv,reco
0,-1,-1,-1,0,-1,2,0,0,secu,opauto,remopti,corefri,remserv,opti
0,-3,-3,-2,-2,-2,2,0,1,assis,preshouse,reminsishr,cotv,share,insight
1,1,1,1,1,1,2,0,0,tv,alert,locinsi,watch,locally,insight
0,-3,-3,-3,-3,-3,2,0,0,alarm,opauto,remshr,locsens,share,nothing
0,-2,-2,-2,-2,-3,2,0,1,hvac,preshouse,remreco,cowash,remserv,reco
0,-2,-2,-2,-2,-2,2,0,0,refr,alert,reminsi,cohvac,remserv,insight
1,1,1,1,1,1,2,0,1,alarm,preshouse,locreco,cosecu,locally,reco
1,1,1,1,1,1,2,0,0,assis,opauto,locopti,micro,locally,opti
0,-3,-3,-1,-2,-2,2,0,1,light,lochouse,locally,cam,locally,nothing
1,1,1,1,1,1,2,0,0,wash,lochouse,remserv,colight,remserv,nothing
0,-3,-3,-3,-3,-3,2,0,0,tv,lochouse,remrecoshr,coalarm,share,reco
0,-3,-3,-3,-3,-3,2,0,0,light,alert,remoptishr,coassis,share,opti
0,-2,-2,-1,-2,1,0,0,1,wash,alert,remreco,locsens,remserv,reco
1,1,2,-1,1,2,0,0,0,light,preshouse,remserv,cam,remserv,nothing
1,2,-2,2,2,-2,0,0,0,tv,lochouse,locopti,cowash,locally,opti
1,2,2,2,2,2,0,0,0,alarm,opauto,locinsi,colight,locally,insight
0,-2,-2,1,-2,1,0,0,1,secu,alert,locreco,coassis,locally,reco
1,-1,2,-1,-1,3,0,0,0,assis,opauto,remoptishr,micro,share,opti
1,2,-2,1,-1,-2,0,0,0,refr,lochouse,remopti,cotv,remserv,opti
1,1,-2,-1,-1,-1,0,0,0,hvac,opauto,reminsi,coalarm,remserv,insight
0,-2,-2,-1,-2,-2,0,0,0,alarm,preshouse,remrecoshr,cosecu,share,reco
0,-2,-2,-1,-2,-1,0,0,0,secu,lochouse,remshr,corefri,share,nothing
0,-2,1,-2,-2,2,0,0,1,tv,alert,reminsishr,watch,share,insight
1,1,-1,2,2,2,0,0,1,assis,preshouse,locally,cohvac,locally,nothing
1,2,2,2,3,0,2,1,0,hvac,opauto,remrecoshr,watch,share,reco
1,2,2,2,3,0,2,1,0,alarm,opauto,remserv,locsens,remserv,nothing
1,3,3,3,3,0,2,1,1,wash,lochouse,locreco,colight,locally,reco
1,3,3,3,3,0,2,1,1,secu,opauto,locally,corefri,locally,nothing
1,3,3,3,3,0,2,1,0,refr,alert,locopti,cohvac,locally,opti
1,3,3,3,3,0,2,1,0,hvac,preshouse,locinsi,cowash,locally,insight
1,-2,-1,-1,-2,0,2,1,0,secu,preshouse,remoptishr,cam,share,opti
1,2,2,2,2,0,2,1,1,tv,lochouse,remreco,coalarm,remserv,reco
0,2,2,2,2,0,2,1,0,light,alert,remopti,coassis,remserv,opti
0,-2,-2,-2,-2,0,2,1,0,wash,alert,remshr,cosecu,share,nothing
1,2,2,2,2,0,2,1,0,assis,preshouse,reminsi,cotv,remserv,insight
0,-2,-2,-2,-2,0,2,1,1,refr,lochouse,reminsishr,micro,share,insight
0,0,-2,-2,-2,-2,0,2,0,assis,preshouse,remopti,cam,remserv,opti
1,1,1,2,2,2,0,2,1,wash,lochouse,locinsi,coalarm,locally,insight
0,-2,-2,-2,-2,-2,0,2,1,refr,lochouse,remoptishr,corefri,share,opti
1,2,3,2,2,2,0,2,0,light,opauto,locreco,locsens,locally,reco
0,-2,-2,0,-2,-2,0,2,0,hvac,preshouse,locopti,cotv,locally,opti
1,2,2,0,2,2,0,2,1,light,preshouse,remshr,colight,share,nothing
0,-2,-2,-2,-2,-2,0,2,1,tv,lochouse,reminsi,micro,remserv,insight
1,1,1,1,2,2,0,2,0,alarm,opauto,remreco,watch,remserv,reco
1,2,2,2,2,2,0,2,0,secu,alert,remserv,cosecu,remserv,nothing
1,2,2,0,2,2,0,2,0,hvac,opauto,reminsishr,cohvac,share,insight
1,2,2,2,2,2,0,2,0,refr,alert,locally,coassis,locally,nothing
0,-2,-2,-2,-2,-2,0,2,0,wash,alert,remrecoshr,cowash,share,reco
0,-2,-2,-3,0,-2,2,1,0,assis,preshouse,locinsi,cotv,locally,insight
1,2,2,2,2,-2,2,1,0,refr,lochouse,remreco,micro,remserv,reco
1,2,2,2,2,-2,2,1,0,secu,preshouse,reminsi,cam,remserv,insight
0,-2,-2,-2,-2,-2,2,1,0,tv,alert,remshr,cowash,share,nothing
0,0,0,0,0,0,2,1,0,light,lochouse,reminsishr,corefri,share,insight
1,2,2,2,2,-3,2,1,1,light,alert,locopti,coassis,locally,opti
0,-2,-2,-2,-2,-2,2,1,0,wash,preshouse,remoptishr,cosecu,share,opti
0,-2,-2,-2,-2,-1,2,1,1,assis,opauto,remrecoshr,cohvac,share,reco
1,2,2,2,2,2,2,1,0,tv,lochouse,locreco,coalarm,locally,reco
1,2,2,2,2,-1,2,1,1,hvac,opauto,remserv,watch,remserv,nothing
0,1,1,2,2,-1,2,1,1,alarm,alert,remopti,locsens,remserv,opti
1,2,2,2,2,2,2,1,0,wash,opauto,locally,colight,locally,nothing
0,2,-2,2,2,-2,1,2,0,assis,alert,locally,corefri,locally,nothing
0,2,-2,2,2,-2,1,2,1,light,alert,remserv,locsens,remserv,nothing
0,-3,-3,-3,-3,-3,1,2,1,alarm,alert,remrecoshr,watch,share,reco
0,2,-2,2,2,-2,1,2,1,refr,preshouse,remopti,coassis,remserv,opti
0,2,0,2,2,-2,1,2,0,wash,opauto,remreco,coalarm,remserv,reco
1,2,2,2,2,2,1,2,1,tv,preshouse,locopti,cohvac,locally,opti
1,2,2,2,2,2,1,2,0,secu,preshouse,remshr,cosecu,share,nothing
1,2,2,0,0,2,1,2,0,tv,opauto,reminsishr,micro,share,insight
1,2,2,2,2,2,1,2,0,hvac,lochouse,reminsi,cotv,remserv,insight
1,2,2,2,2,2,1,2,0,secu,opauto,locreco,colight,locally,reco
0,-3,2,-2,-2,-2,1,2,0,assis,lochouse,remoptishr,cam,share,opti
0,2,-2,2,2,-2,1,2,0,alarm,lochouse,locinsi,cowash,locally,insight
0,-2,-2,0,0,-2,1,0,0,hvac,alert,remreco,corefri,remserv,reco
1,1,0,1,1,-1,1,0,0,alarm,lochouse,remshr,cotv,share,nothing
1,1,0,-1,0,-3,1,0,0,light,opauto,remoptishr,cowash,share,opti
1,1,1,0,1,2,1,0,0,assis,alert,reminsishr,colight,share,insight
1,2,1,2,1,0,1,0,0,alarm,alert,locreco,micro,locally,reco
1,1,1,1,2,0,1,0,1,assis,lochouse,locopti,locsens,locally,opti
0,-2,-2,-2,-2,2,1,0,1,tv,preshouse,remrecoshr,coassis,share,reco
0,-1,-1,-1,-1,1,1,0,0,light,preshouse,locally,coalarm,locally,nothing
1,1,1,2,0,-3,1,0,0,refr,opauto,reminsi,cosecu,remserv,insight
1,1,-1,1,1,-2,1,0,0,tv,opauto,locinsi,cam,locally,insight
1,1,1,0,1,-2,1,0,1,wash,preshouse,remserv,cohvac,remserv,nothing
1,3,1,2,1,-1,1,0,1,secu,lochouse,remopti,watch,remserv,opti
1,1,0,2,1,-1,2,2,1,wash,preshouse,locopti,cam,locally,opti
1,2,1,2,1,1,2,2,0,assis,opauto,locreco,watch,locally,reco
0,-2,2,-3,-1,2,2,2,0,assis,preshouse,remshr,coalarm,share,nothing
0,1,-3,1,0,-3,2,2,0,wash,opauto,reminsishr,coassis,share,insight
0,-3,2,-1,-1,1,2,2,1,light,alert,remrecoshr,cotv,share,reco
0,-2,3,-2,-1,3,2,2,0,hvac,lochouse,remoptishr,colight,share,opti
0,0,1,-1,0,1,2,2,0,secu,opauto,remreco,cohvac,remserv,reco
1,0,1,-1,0,1,2,2,1,tv,preshouse,remopti,cosecu,remserv,opti
1,2,2,2,1,2,2,2,0,light,lochouse,locinsi,micro,locally,insight
1,2,1,2,2,0,2,2,0,hvac,alert,locally,locsens,locally,nothing
0,-2,2,-1,1,0,2,2,0,alarm,lochouse,reminsi,corefri,remserv,insight
1,2,1,1,1,1,2,2,1,refr,alert,remserv,cowash,remserv,nothing
0,-1,0,-1,-1,1,2,1,1,assis,lochouse,reminsishr,cotv,share,insight
1,1,1,1,0,0,2,1,1,light,opauto,locally,cam,locally,nothing
1,1,1,-1,0,1,2,1,0,assis,alert,locopti,micro,locally,opti
0,-2,-2,-2,-2,-2,2,1,1,hvac,lochouse,remreco,cowash,remserv,reco
0,-2,-2,-2,-2,-2,2,1,0,tv,opauto,remrecoshr,coalarm,share,reco
0,-2,-2,-2,-2,-2,2,1,1,alarm,lochouse,locreco,cosecu,locally,reco
0,-2,-2,-2,-2,-2,2,1,0,alarm,alert,remshr,locsens,share,nothing
0,-2,-2,-2,-2,-2,2,1,0,refr,preshouse,reminsi,cohvac,remserv,insight
1,0,0,0,1,1,2,1,0,wash,opauto,remserv,colight,remserv,nothing
1,1,1,-1,0,0,2,1,0,secu,alert,remopti,corefri,remserv,opti
0,-2,-2,-1,-1,-1,2,1,0,tv,preshouse,locinsi,watch,locally,insight
0,-2,-2,-2,-2,-2,2,1,0,light,preshouse,remoptishr,coassis,share,opti
0,0,-1,2,1,1,1,1,0,assis,preshouse,locreco,cohvac,locally,reco
0,-2,-2,-1,-2,-2,1,1,0,wash,preshouse,reminsishr,locsens,share,insight
1,1,1,1,2,1,1,1,0,alarm,alert,reminsi,colight,remserv,insight
0,0,-1,0,0,1,1,1,0,secu,preshouse,remreco,coassis,remserv,reco
1,1,2,1,2,2,1,1,1,wash,opauto,locopti,cosecu,locally,opti
0,-1,-2,-2,-1,-1,1,1,1,light,lochouse,remrecoshr,cam,share,reco
1,1,2,1,2,2,1,1,1,tv,opauto,remopti,cowash,remserv,opti
0,-2,1,-2,-2,0,1,1,0,hvac,alert,remoptishr,coalarm,share,opti
0,-3,-2,-2,-2,1,1,1,0,assis,opauto,remshr,micro,share,nothing
1,1,2,1,2,2,1,1,0,hvac,lochouse,locally,watch,locally,nothing
1,1,2,1,2,2,1,1,1,refr,lochouse,remserv,cotv,remserv,nothing
1,2,3,2,2,2,1,1,0,light,alert,locinsi,corefri,locally,insight
1,3,3,3,3,2,2,0,1,wash,opauto,locopti,coassis,locally,opti
0,-3,1,-3,1,1,2,0,0,alarm,alert,reminsi,cam,remserv,insight
0,-3,3,-3,-3,-3,2,0,1,refr,lochouse,remserv,watch,remserv,nothing
0,-3,3,-2,-3,-3,2,0,0,secu,preshouse,remreco,micro,remserv,reco
1,3,3,1,3,3,2,0,1,light,lochouse,remrecoshr,cohvac,share,reco
1,3,3,3,3,3,2,0,0,assis,opauto,remshr,cowash,share,nothing
1,3,3,3,2,3,2,0,0,light,alert,locinsi,cotv,locally,insight
1,3,3,3,2,2,2,0,1,tv,opauto,remopti,locsens,remserv,opti
1,1,1,2,3,3,2,0,0,hvac,lochouse,locally,colight,locally,nothing
1,3,3,3,3,2,2,0,0,wash,preshouse,reminsishr,corefri,share,insight
1,3,3,3,3,3,2,0,0,assis,preshouse,locreco,coalarm,locally,reco
1,3,3,2,3,2,2,0,0,hvac,alert,remoptishr,cosecu,share,opti
0,0,-3,3,0,-2,2,1,1,hvac,opauto,remserv,corefri,remserv,nothing
1,2,-1,3,0,0,2,1,0,secu,preshouse,reminsi,watch,remserv,insight
0,0,-2,3,0,0,2,1,0,tv,lochouse,locreco,cam,locally,reco
1,2,-1,3,0,0,2,1,0,assis,preshouse,locinsi,locsens,locally,insight
0,0,-2,3,0,-2,2,1,0,light,lochouse,reminsishr,cowash,share,insight
1,0,-1,3,0,-1,2,1,1,alarm,alert,remopti,micro,remserv,opti
1,2,1,3,0,0,2,1,0,wash,preshouse,remoptishr,cohvac,share,opti
0,0,-3,3,0,1,2,1,1,assis,opauto,remrecoshr,colight,share,reco
1,2,-3,3,0,-3,2,1,0,wash,opauto,locally,cotv,locally,nothing
0,0,-3,3,0,0,2,1,0,refr,lochouse,remreco,cosecu,remserv,reco
1,2,1,3,2,1,2,1,0,tv,alert,remshr,coassis,share,nothing
1,3,2,3,3,1,2,1,1,light,alert,locopti,coalarm,locally,opti
1,2,1,2,2,0,1,0,1,wash,lochouse,remopti,coalarm,remserv,opti
1,2,2,2,2,0,1,0,0,hvac,alert,locreco,cotv,locally,reco
1,-1,0,-2,-2,-2,1,0,0,assis,alert,remreco,cam,remserv,reco
1,-2,-2,-2,-2,-1,1,0,0,hvac,lochouse,remshr,cohvac,share,nothing
1,2,1,2,2,0,1,0,1,secu,lochouse,locopti,colight,locally,opti
0,-1,-1,-1,-2,-1,1,0,1,tv,preshouse,remserv,micro,remserv,nothing
0,-1,-1,0,-2,-1,1,0,1,refr,preshouse,remrecoshr,corefri,share,reco
1,1,-1,1,1,0,1,0,0,alarm,preshouse,locally,cowash,locally,nothing
0,-1,0,-2,-1,-1,1,0,0,secu,alert,reminsishr,cosecu,share,insight
1,1,1,1,1,1,1,0,0,alarm,opauto,remoptishr,watch,share,opti
1,2,2,2,2,0,1,0,0,refr,opauto,locinsi,coassis,locally,insight
1,3,3,3,2,2,1,0,0,light,opauto,reminsi,locsens,remserv,insight
0,-1,-1,-1,-1,-2,0,2,0,refr,alert,remserv,locsens,remserv,nothing
0,1,1,2,2,2,0,2,0,light,alert,remrecoshr,watch,share,reco
1,2,2,2,2,2,0,2,0,hvac,alert,locally,corefri,locally,nothing
1,3,3,3,2,3,0,2,0,tv,preshouse,remopti,coassis,remserv,opti
1,2,2,3,3,2,0,2,0,wash,preshouse,locopti,cohvac,locally,opti
1,3,2,2,2,2,0,2,1,alarm,lochouse,reminsi,cotv,remserv,insight
1,2,2,2,2,2,0,2,1,light,lochouse,locinsi,cowash,locally,insight
1,1,2,2,1,1,0,2,0,wash,opauto,reminsishr,micro,share,insight
1,2,2,2,2,2,0,2,0,assis,opauto,locreco,colight,locally,reco
1,3,3,3,3,3,0,2,1,assis,preshouse,remshr,cosecu,share,nothing
1,3,3,2,2,3,0,2,1,hvac,lochouse,remoptishr,cam,share,opti
1,2,2,2,2,3,0,2,0,secu,opauto,remreco,coalarm,remserv,reco
0,-2,-2,0,-1,-1,0,1,0,wash,preshouse,remoptishr,cotv,share,opti
0,-3,-2,-2,-2,-3,0,1,1,light,lochouse,reminsishr,coalarm,share,insight
0,-3,-3,0,-1,-1,0,1,1,refr,lochouse,remreco,colight,remserv,reco
0,-2,-2,0,-2,0,0,1,0,tv,alert,remshr,cam,share,nothing
0,-2,-2,0,0,0,0,1,0,secu,preshouse,reminsi,cowash,remserv,insight
1,1,2,1,1,1,0,1,0,hvac,opauto,remserv,coassis,remserv,nothing
1,-2,0,-1,0,0,0,1,0,assis,opauto,remrecoshr,locsens,share,reco
0,0,-2,0,0,0,0,1,0,alarm,alert,remopti,cohvac,remserv,opti
1,1,1,0,0,0,0,1,0,assis,preshouse,locinsi,cosecu,locally,insight
0,0,0,0,-1,0,0,1,1,tv,lochouse,locreco,corefri,locally,reco
1,1,1,1,0,0,0,1,1,wash,opauto,locally,micro,locally,nothing
1,1,1,1,1,0,0,1,0,light,alert,locopti,watch,locally,opti
0,-1,-2,-1,0,2,0,0,1,hvac,alert,remreco,cohvac,remserv,reco
1,1,1,0,1,1,0,0,0,secu,lochouse,remopti,cosecu,remserv,opti
1,1,1,1,2,2,0,0,0,tv,opauto,locinsi,micro,locally,insight
0,-1,-2,1,-2,1,0,0,1,alarm,alert,locreco,watch,locally,reco
0,-3,1,-3,-3,-3,0,0,0,light,opauto,remoptishr,colight,share,opti
0,-3,-1,-3,-3,-3,0,0,0,alarm,lochouse,remshr,coalarm,share,nothing
1,1,1,1,2,2,0,0,1,light,preshouse,locally,locsens,locally,nothing
0,-3,0,-3,-3,-3,0,0,1,assis,alert,reminsishr,coassis,share,insight
1,2,2,1,3,3,0,0,0,assis,lochouse,locopti,cam,locally,opti
0,-1,-3,-1,-3,-2,0,0,0,wash,preshouse,remserv,cowash,remserv,nothing
1,1,1,1,2,2,0,0,0,refr,opauto,reminsi,corefri,remserv,insight
0,-3,-2,-2,-3,-2,0,0,0,tv,preshouse,remrecoshr,cotv,share,reco
0,-2,0,0,0,0,0,2,0,wash,preshouse,reminsi,corefri,remserv,insight
1,0,1,0,0,1,0,2,1,refr,lochouse,locreco,watch,locally,reco
1,-1,0,0,0,1,0,2,0,secu,preshouse,locinsi,micro,locally,insight
1,0,0,0,0,0,0,2,1,tv,opauto,locally,locsens,locally,nothing
1,0,1,0,0,1,0,2,0,hvac,alert,remopti,cosecu,remserv,opti
0,0,-1,0,-1,1,0,2,0,tv,preshouse,remoptishr,colight,share,opti
1,0,1,0,1,1,0,2,0,assis,opauto,remserv,cowash,remserv,nothing
0,-2,-2,-2,-2,2,0,2,1,alarm,lochouse,reminsishr,coassis,share,insight
0,-2,-2,-2,-2,2,0,2,0,refr,alert,remshr,coalarm,share,nothing
0,-2,-2,-2,-2,2,0,2,1,light,lochouse,remreco,cohvac,remserv,reco
0,-2,-2,-2,-2,2,0,2,0,secu,opauto,remrecoshr,cotv,share,reco
1,0,0,0,0,2,0,2,0,alarm,alert,locopti,cam,locally,opti
1,3,2,3,1,-2,1,2,0,refr,alert,locally,cowash,locally,nothing
1,-2,0,-1,-1,-3,1,2,0,wash,lochouse,locinsi,coassis,locally,insight
0,-3,2,-3,-3,1,1,2,1,secu,alert,remserv,micro,remserv,nothing
0,-3,1,-3,-3,-1,1,2,1,assis,preshouse,remopti,coalarm,remserv,opti
0,-3,0,-3,-3,-1,1,2,0,light,preshouse,remshr,cohvac,share,nothing
0,-3,-2,-3,-3,-1,1,2,0,refr,lochouse,remoptishr,watch,share,opti
0,-3,1,-3,-3,-1,1,2,0,hvac,opauto,reminsishr,cosecu,share,insight
1,3,3,3,3,3,1,2,1,hvac,preshouse,locopti,colight,locally,opti
0,-3,-3,-3,-3,-2,1,2,0,tv,lochouse,reminsi,locsens,remserv,insight
1,1,1,2,1,1,1,2,0,light,opauto,locreco,cotv,locally,reco
0,-3,-3,-3,-3,-1,1,2,1,wash,alert,remrecoshr,corefri,share,reco
0,-3,-1,-3,-3,-2,1,2,0,alarm,opauto,remreco,cam,remserv,reco
0,-1,-1,-2,-2,-1,2,1,1,secu,lochouse,reminsishr,colight,share,insight
1,2,1,2,1,1,2,1,1,alarm,opauto,locally,coalarm,locally,nothing
0,1,1,-1,1,1,2,1,0,refr,opauto,remrecoshr,coassis,share,reco
0,-2,-2,1,-1,-2,2,1,1,hvac,lochouse,locreco,micro,locally,reco
0,-1,-2,1,-1,-2,2,1,0,refr,preshouse,locinsi,cam,locally,insight
0,-2,-2,-3,-2,-2,2,1,0,hvac,alert,remshr,cotv,share,nothing
0,-1,-1,-1,-2,-2,2,1,1,assis,lochouse,remreco,corefri,remserv,reco
0,-2,-2,-1,-2,-3,2,1,0,alarm,preshouse,remoptishr,cowash,share,opti
0,-1,-3,-1,-3,-2,2,1,0,tv,opauto,remserv,cohvac,remserv,nothing
1,1,1,0,1,-1,2,1,0,wash,alert,remopti,watch,remserv,opti
0,-1,-1,-1,-2,-1,2,1,0,secu,alert,locopti,locsens,locally,opti
1,1,1,1,-1,0,2,1,0,light,preshouse,reminsi,cosecu,remserv,insight
1,3,3,3,3,3,0,2,1,refr,alert,locally,cosecu,locally,nothing
1,3,3,3,3,3,0,2,0,hvac,preshouse,locopti,corefri,locally,opti
0,-2,-2,-1,-2,-3,0,2,0,wash,alert,remrecoshr,micro,share,reco
1,2,2,2,2,2,0,2,0,secu,alert,remserv,coalarm,remserv,nothing
0,-2,-2,-2,-2,-2,0,2,0,tv,lochouse,reminsi,coassis,remserv,insight
1,-2,-2,-2,-2,-2,0,2,0,refr,lochouse,remoptishr,locsens,share,opti
1,0,-2,0,-1,-2,0,2,0,wash,lochouse,locinsi,cohvac,locally,insight
1,0,2,-1,0,2,0,2,0,light,preshouse,remshr,watch,share,nothing
0,-2,-2,2,-1,-3,0,2,1,light,opauto,locreco,cowash,locally,reco
1,-2,-2,-2,-2,-3,0,2,1,hvac,opauto,reminsishr,cam,share,insight
1,1,2,3,2,1,0,2,1,alarm,opauto,remreco,cotv,remserv,reco
1,0,0,-2,-1,-2,0,2,0,assis,preshouse,remopti,colight,remserv,opti
1,2,0,2,2,1,0,0,1,secu,alert,locreco,cam,locally,reco
1,3,2,2,2,1,0,0,0,alarm,opauto,locinsi,locsens,locally,insight
1,2,2,2,3,3,0,0,0,hvac,opauto,reminsi,watch,remserv,insight
0,-3,-3,-3,-3,-3,0,0,0,secu,lochouse,remshr,coassis,share,nothing
1,0,-2,2,0,-3,0,0,1,assis,preshouse,locally,cotv,locally,nothing
1,0,0,1,0,0,0,0,0,refr,lochouse,remopti,micro,remserv,opti
1,1,-3,2,-1,-1,0,0,0,light,preshouse,remserv,corefri,remserv,nothing
1,2,0,2,0,-2,0,0,0,tv,lochouse,locopti,coalarm,locally,opti
0,-3,-3,-3,-3,-3,0,0,0,assis,opauto,remoptishr,cohvac,share,opti
1,-3,-3,-3,-3,-3,0,0,0,alarm,preshouse,remrecoshr,colight,share,reco
1,2,2,2,2,2,0,0,1,wash,alert,remreco,cosecu,remserv,reco
1,2,3,3,3,-3,0,0,1,tv,alert,reminsishr,cowash,share,insight
0,-3,-2,-3,-3,2,1,2,1,hvac,preshouse,locopti,micro,locally,opti
0,-3,-3,-3,-3,-3,1,2,0,refr,lochouse,remoptishr,coassis,share,opti
0,-3,-3,-3,-3,-3,1,2,0,tv,lochouse,reminsi,cohvac,remserv,insight
0,-3,-3,-3,-3,-3,1,2,1,secu,alert,remserv,colight,remserv,nothing
0,-3,-3,-3,-3,-3,1,2,0,light,opauto,locreco,cosecu,locally,reco
0,-3,-3,-3,-3,-3,1,2,1,assis,preshouse,remopti,corefri,remserv,opti
0,-3,-3,-3,-3,-3,1,2,0,wash,lochouse,locinsi,watch,locally,insight
0,-3,-3,-3,-3,0,1,2,0,light,preshouse,remshr,locsens,share,nothing
0,-3,-3,-3,-3,-3,1,2,0,refr,alert,locally,cam,locally,nothing
0,-3,-3,-3,-3,-3,1,2,0,hvac,opauto,reminsishr,cotv,share,insight
0,-3,-3,-3,-3,-3,1,2,0,alarm,opauto,remreco,cowash,remserv,reco
0,-3,-3,-3,-3,-3,1,2,1,wash,alert,remrecoshr,coalarm,share,reco
0,-2,2,-2,-2,3,1,2,0,tv,preshouse,remshr,cotv,share,nothing
1,2,1,0,0,-1,1,2,0,wash,alert,locally,coalarm,locally,nothing
0,-2,1,0,-1,-2,1,2,0,light,opauto,reminsishr,colight,share,insight
0,-2,2,-2,1,2,1,2,0,refr,opauto,remreco,corefri,remserv,reco
1,2,2,2,3,2,1,2,1,light,preshouse,locopti,locsens,locally,opti
1,-1,1,-1,1,2,1,2,0,tv,opauto,locreco,micro,locally,reco
1,-3,-3,-2,-3,-2,1,2,0,wash,lochouse,remoptishr,cowash,share,opti
0,-2,1,-2,-1,2,1,2,1,assis,alert,remrecoshr,coassis,share,reco
0,-1,1,1,1,2,1,2,0,assis,lochouse,locinsi,cam,locally,insight
1,-2,1,-2,-2,2,1,2,0,secu,lochouse,reminsi,cosecu,remserv,insight
0,-2,2,-2,-2,1,1,2,1,alarm,preshouse,remopti,watch,remserv,opti
1,-1,1,-1,1,2,1,2,1,hvac,alert,remserv,cohvac,remserv,nothing
0,-2,0,-2,-3,0,2,2,1,assis,opauto,remreco,cam,remserv,reco
0,-3,1,-3,-3,2,2,2,0,refr,alert,remrecoshr,corefri,share,reco
0,-3,-2,-3,-3,-1,2,2,1,secu,opauto,reminsishr,cosecu,share,insight
0,-3,-2,-2,-3,-2,2,2,0,wash,preshouse,remopti,coalarm,remserv,opti
0,-3,1,-2,-2,0,2,2,0,light,lochouse,reminsi,locsens,remserv,insight
0,0,-3,0,0,-2,2,2,1,hvac,opauto,locreco,cotv,locally,reco
1,1,1,1,0,1,2,2,0,secu,preshouse,locopti,colight,locally,opti
0,-3,-3,-3,-3,-3,2,2,0,tv,alert,remserv,micro,remserv,nothing
1,2,2,1,2,2,2,2,0,refr,lochouse,locinsi,coassis,locally,insight
0,-3,-3,-3,-3,0,2,2,0,alarm,lochouse,remoptishr,watch,share,opti
