@relation 'Framing0-weka.filters.unsupervised.attribute.Remove-R1-4,6-17-weka.filters.unsupervised.attribute.Reorder-R2-7,1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
secu,opauto,colight,locally,insight,1
secu,preshouse,cosecu,share,reco,0
refr,lochouse,corefri,share,nothing,0
alarm,lochouse,cowash,locally,opti,0
alarm,alert,watch,share,insight,0
tv,preshouse,cohvac,locally,nothing,0
wash,opauto,coalarm,remserv,insight,0
assis,preshouse,cam,remserv,nothing,1
refr,alert,coassis,locally,reco,0
tv,alert,colight,remserv,reco,1
secu,preshouse,micro,locally,nothing,1
hvac,preshouse,locsens,share,reco,1
assis,opauto,cowash,remserv,insight,1
wash,alert,corefri,locally,reco,0
wash,lochouse,cam,share,nothing,0
light,lochouse,cohvac,remserv,opti,1
refr,alert,coalarm,share,insight,1
refr,lochouse,watch,locally,opti,1
secu,opauto,cotv,share,opti,1
alarm,preshouse,coassis,remserv,nothing,1
hvac,opauto,cosecu,locally,insight,1
assis,preshouse,coassis,locally,nothing,1
tv,alert,cohvac,share,insight,0
alarm,opauto,coalarm,locally,insight,1
alarm,preshouse,cowash,share,reco,0
refr,lochouse,cam,remserv,opti,1
secu,lochouse,colight,share,nothing,0
hvac,opauto,micro,remserv,insight,1
wash,alert,watch,remserv,reco,1
assis,opauto,corefri,share,opti,1
secu,alert,locsens,locally,reco,1
tv,lochouse,cotv,locally,opti,1
light,preshouse,cosecu,remserv,nothing,1
alarm,opauto,micro,remserv,insight,1
hvac,opauto,corefri,share,opti,1
wash,lochouse,cotv,locally,opti,1
light,opauto,coalarm,locally,insight,1
assis,alert,locsens,locally,reco,1
assis,lochouse,colight,share,nothing,1
secu,alert,watch,remserv,reco,1
wash,alert,cohvac,share,insight,1
hvac,preshouse,coassis,locally,nothing,1
refr,preshouse,cosecu,remserv,nothing,1
tv,lochouse,cam,remserv,opti,1
light,preshouse,cowash,share,reco,1
hvac,lochouse,micro,locally,opti,1
refr,opauto,coassis,share,opti,1
light,alert,cosecu,locally,reco,1
wash,opauto,watch,locally,insight,1
refr,preshouse,cam,locally,nothing,0
secu,preshouse,colight,remserv,nothing,1
light,lochouse,locsens,share,nothing,0
assis,lochouse,corefri,remserv,opti,0
tv,opauto,cohvac,remserv,insight,1
hvac,alert,cotv,share,insight,1
alarm,alert,cowash,remserv,reco,1
wash,preshouse,coalarm,share,reco,1
secu,alert,cam,share,insight,0
wash,lochouse,colight,remserv,opti,0
light,opauto,coassis,remserv,insight,0
alarm,preshouse,cosecu,locally,nothing,0
hvac,alert,cowash,locally,reco,0
secu,lochouse,corefri,locally,opti,0
refr,preshouse,micro,share,reco,0
tv,preshouse,coalarm,remserv,nothing,0
refr,opauto,cohvac,locally,insight,0
assis,alert,cotv,remserv,reco,0
alarm,opauto,locsens,share,opti,0
hvac,lochouse,watch,share,nothing,0
tv,lochouse,colight,share,nothing,0
light,alert,cohvac,share,insight,0
alarm,lochouse,cam,remserv,opti,0
assis,preshouse,cowash,share,reco,0
tv,alert,locsens,locally,reco,0
wash,preshouse,coassis,locally,nothing,0
hvac,preshouse,cosecu,remserv,nothing,0
wash,opauto,corefri,share,opti,0
secu,opauto,micro,remserv,insight,0
refr,alert,watch,remserv,reco,0
assis,opauto,coalarm,locally,insight,0
light,lochouse,cotv,locally,opti,1
wash,opauto,cotv,locally,insight,0
refr,preshouse,colight,locally,nothing,0
light,alert,coalarm,locally,reco,0
refr,opauto,cosecu,share,opti,0
alarm,alert,micro,remserv,reco,0
hvac,alert,corefri,share,insight,0
assis,lochouse,locsens,remserv,opti,0
tv,opauto,cam,remserv,insight,0
wash,preshouse,cohvac,share,reco,0
hvac,lochouse,coassis,locally,opti,1
secu,preshouse,watch,remserv,nothing,0
light,lochouse,cowash,share,nothing,0
tv,lochouse,cotv,locally,opti,1
secu,lochouse,colight,share,nothing,0
hvac,opauto,micro,remserv,insight,0
wash,alert,watch,remserv,reco,1
tv,alert,cohvac,share,insight,0
light,preshouse,cosecu,remserv,nothing,0
assis,opauto,corefri,share,opti,0
alarm,preshouse,cowash,share,reco,0
secu,alert,locsens,locally,reco,1
refr,lochouse,cam,remserv,opti,0
alarm,opauto,coalarm,locally,insight,0
assis,preshouse,coassis,locally,nothing,0
assis,opauto,cam,locally,insight,0
assis,preshouse,coassis,share,reco,0
light,alert,colight,share,insight,1
light,lochouse,locsens,locally,opti,0
alarm,lochouse,watch,remserv,opti,1
wash,preshouse,coalarm,locally,nothing,1
tv,alert,micro,locally,reco,0
wash,opauto,cowash,share,opti,1
tv,lochouse,cotv,share,nothing,0
hvac,preshouse,cohvac,remserv,nothing,1
refr,alert,corefri,remserv,reco,1
secu,opauto,cosecu,remserv,insight,1
refr,preshouse,cam,share,reco,0
hvac,alert,cohvac,locally,reco,0
hvac,lochouse,micro,share,nothing,1
alarm,preshouse,watch,locally,nothing,1
secu,lochouse,cosecu,locally,opti,1
assis,alert,coassis,remserv,reco,0
secu,alert,locsens,share,insight,0
refr,opauto,corefri,locally,insight,0
tv,preshouse,cotv,remserv,nothing,0
wash,lochouse,cowash,remserv,opti,0
alarm,opauto,coalarm,share,opti,0
light,opauto,colight,remserv,insight,0
hvac,alert,cowash,remserv,reco,1
alarm,alert,cosecu,locally,reco,1
secu,lochouse,corefri,remserv,opti,1
tv,opauto,watch,locally,insight,1
refr,opauto,cohvac,remserv,insight,1
assis,alert,cotv,share,insight,0
assis,lochouse,micro,locally,opti,1
alarm,lochouse,locsens,share,nothing,0
light,opauto,coassis,share,opti,1
tv,preshouse,coalarm,share,reco,0
light,preshouse,cam,locally,nothing,1
wash,preshouse,colight,remserv,nothing,1
hvac,preshouse,corefri,share,insight,1
alarm,preshouse,micro,remserv,reco,1
refr,alert,cosecu,share,opti,1
wash,alert,cotv,locally,insight,0
wash,lochouse,cohvac,share,reco,0
secu,lochouse,watch,remserv,nothing,1
hvac,opauto,coassis,locally,opti,1
light,preshouse,coalarm,locally,reco,1
refr,lochouse,colight,locally,nothing,0
tv,alert,cam,remserv,insight,1
