@relation '4Cluster-weka.filters.unsupervised.attribute.NumericToNominal-R2-9-weka.filters.unsupervised.attribute.Reorder-R1-7,9,8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute cluster {cluster2,cluster3,cluster0,cluster1}
@attribute decision {0,1}

@data
hvac,preshouse,watch,share,reco,cluster3,1
tv,alert,coalarm,remserv,reco,cluster3,1
secu,opauto,cam,share,opti,cluster3,0
secu,preshouse,corefri,locally,nothing,cluster3,1
refr,lochouse,cohvac,locally,opti,cluster3,1
alarm,preshouse,locsens,remserv,nothing,cluster3,1
light,lochouse,coassis,remserv,opti,cluster3,1
wash,lochouse,cosecu,share,nothing,cluster3,0
assis,opauto,watch,locally,reco,cluster1,1
alarm,lochouse,corefri,remserv,insight,cluster1,0
tv,preshouse,cosecu,remserv,opti,cluster1,1
hvac,lochouse,colight,share,opti,cluster1,0
light,lochouse,micro,locally,insight,cluster1,1
secu,opauto,cohvac,remserv,reco,cluster1,0
assis,preshouse,coalarm,share,nothing,cluster1,0
wash,opauto,coassis,share,insight,cluster1,0
refr,alert,cowash,remserv,nothing,cluster1,0
light,alert,cotv,share,reco,cluster1,0
hvac,alert,locsens,locally,nothing,cluster1,1
wash,preshouse,cam,locally,opti,cluster1,1
secu,alert,cosecu,remserv,nothing,cluster2,1
wash,alert,cowash,share,reco,cluster2,0
hvac,opauto,cohvac,share,insight,cluster2,0
refr,lochouse,corefri,share,opti,cluster2,1
assis,preshouse,cam,remserv,opti,cluster2,1
alarm,opauto,watch,remserv,reco,cluster2,0
tv,lochouse,micro,remserv,insight,cluster2,0
refr,alert,coassis,locally,nothing,cluster2,1
hvac,preshouse,cotv,locally,opti,cluster2,1
light,preshouse,colight,share,nothing,cluster2,0
light,opauto,locsens,locally,reco,cluster2,1
wash,lochouse,coalarm,locally,insight,cluster2,1
refr,preshouse,cowash,share,opti,cluster3,0
tv,preshouse,cosecu,remserv,insight,cluster3,1
wash,opauto,coassis,share,reco,cluster3,1
alarm,lochouse,corefri,remserv,reco,cluster3,1
secu,opauto,cohvac,remserv,nothing,cluster3,1
hvac,lochouse,colight,share,insight,cluster3,1
wash,preshouse,cam,locally,insight,cluster3,1
light,lochouse,micro,locally,reco,cluster3,1
refr,opauto,coalarm,locally,nothing,cluster3,1
assis,alert,watch,remserv,opti,cluster3,1
hvac,alert,locsens,locally,opti,cluster3,1
light,alert,cotv,share,nothing,cluster3,1
hvac,lochouse,coassis,locally,insight,cluster0,0
light,preshouse,coalarm,remserv,opti,cluster0,0
alarm,alert,micro,remserv,nothing,cluster0,0
secu,lochouse,watch,share,opti,cluster0,0
wash,opauto,cotv,locally,reco,cluster0,0
assis,lochouse,locsens,remserv,insight,cluster0,0
wash,preshouse,cohvac,share,nothing,cluster0,0
refr,preshouse,colight,locally,opti,cluster0,0
hvac,alert,corefri,share,reco,cluster0,0
refr,opauto,cosecu,share,insight,cluster0,0
tv,opauto,cam,remserv,reco,cluster0,0
secu,alert,cowash,locally,nothing,cluster0,0
light,opauto,colight,remserv,insight,cluster0,0
secu,lochouse,cosecu,locally,opti,cluster0,1
alarm,opauto,coalarm,share,opti,cluster0,0
hvac,alert,cohvac,locally,reco,cluster0,1
refr,preshouse,cam,share,reco,cluster0,0
wash,lochouse,cowash,remserv,opti,cluster0,0
assis,alert,coassis,remserv,reco,cluster0,0
secu,alert,locsens,share,insight,cluster0,0
hvac,lochouse,micro,share,nothing,cluster0,0
tv,preshouse,cotv,remserv,nothing,cluster0,1
refr,opauto,corefri,locally,insight,cluster0,1
alarm,preshouse,watch,locally,nothing,cluster0,1
alarm,preshouse,cosecu,remserv,reco,cluster2,0
light,opauto,coassis,share,nothing,cluster2,0
wash,alert,locsens,locally,insight,cluster2,1
refr,lochouse,cotv,locally,nothing,cluster2,1
assis,opauto,micro,remserv,opti,cluster2,1
wash,lochouse,colight,share,reco,cluster2,0
secu,lochouse,corefri,remserv,nothing,cluster2,0
hvac,preshouse,cowash,share,insight,cluster2,0
hvac,opauto,coalarm,locally,opti,cluster2,1
light,preshouse,cam,locally,reco,cluster2,1
refr,alert,cohvac,share,opti,cluster2,1
tv,alert,watch,remserv,insight,cluster2,1
refr,alert,colight,remserv,reco,cluster0,1
tv,lochouse,cam,share,nothing,cluster0,0
tv,alert,corefri,locally,reco,cluster0,1
wash,opauto,cotv,share,opti,cluster0,0
alarm,lochouse,cohvac,remserv,opti,cluster0,1
hvac,preshouse,coassis,remserv,nothing,cluster0,0
light,lochouse,watch,locally,opti,cluster0,1
wash,preshouse,micro,locally,nothing,cluster0,0
secu,opauto,cowash,remserv,insight,cluster0,1
assis,preshouse,locsens,share,reco,cluster0,0
light,alert,coalarm,share,insight,cluster0,0
assis,opauto,cosecu,locally,insight,cluster0,0
wash,alert,colight,remserv,opti,cluster2,1
tv,opauto,coalarm,remserv,nothing,cluster2,1
refr,preshouse,cohvac,locally,insight,cluster2,1
alarm,opauto,cosecu,locally,nothing,cluster2,1
hvac,lochouse,cowash,locally,reco,cluster2,1
refr,opauto,micro,share,reco,cluster2,0
alarm,preshouse,locsens,share,opti,cluster2,0
secu,alert,corefri,locally,opti,cluster2,1
light,preshouse,coassis,remserv,insight,cluster2,1
hvac,alert,watch,share,nothing,cluster2,1
secu,lochouse,cam,share,insight,cluster2,0
assis,lochouse,cotv,remserv,reco,cluster2,0
light,preshouse,corefri,remserv,nothing,cluster1,0
secu,lochouse,coassis,share,nothing,cluster1,0
alarm,opauto,locsens,locally,insight,cluster1,0
alarm,preshouse,colight,share,reco,cluster1,0
tv,alert,cowash,share,insight,cluster1,0
assis,opauto,cohvac,share,opti,cluster1,0
wash,alert,cosecu,remserv,reco,cluster1,0
secu,alert,cam,locally,reco,cluster1,0
refr,lochouse,micro,remserv,opti,cluster1,0
assis,preshouse,cotv,locally,nothing,cluster1,1
hvac,opauto,watch,remserv,insight,cluster1,0
tv,lochouse,coalarm,locally,opti,cluster1,1
alarm,lochouse,micro,share,insight,cluster0,0
secu,opauto,watch,share,reco,cluster0,0
assis,opauto,locsens,remserv,nothing,cluster0,1
refr,alert,cosecu,share,nothing,cluster0,0
tv,opauto,corefri,locally,nothing,cluster0,0
tv,preshouse,cam,share,opti,cluster0,0
alarm,alert,cohvac,locally,opti,cluster0,1
light,lochouse,coalarm,remserv,reco,cluster0,0
refr,lochouse,colight,locally,reco,cluster0,0
hvac,alert,coassis,remserv,opti,cluster0,0
wash,preshouse,cotv,remserv,insight,cluster0,0
secu,preshouse,cowash,locally,insight,cluster0,0
secu,lochouse,cotv,locally,insight,cluster0,0
tv,lochouse,cosecu,share,opti,cluster0,0
light,opauto,micro,remserv,reco,cluster0,1
alarm,preshouse,coassis,locally,opti,cluster0,0
hvac,preshouse,locsens,remserv,opti,cluster0,0
alarm,opauto,corefri,share,insight,cluster0,0
tv,alert,colight,locally,nothing,cluster0,1
refr,preshouse,cowash,share,nothing,cluster0,0
refr,opauto,coalarm,locally,reco,cluster0,1
assis,alert,watch,remserv,nothing,cluster0,1
wash,lochouse,cam,remserv,insight,cluster0,0
secu,alert,cohvac,share,reco,cluster0,0
hvac,alert,corefri,share,opti,cluster1,0
secu,preshouse,watch,remserv,reco,cluster1,0
light,alert,coalarm,locally,insight,cluster1,1
wash,opauto,cotv,locally,opti,cluster1,1
wash,preshouse,cohvac,share,insight,cluster1,0
refr,lochouse,cosecu,remserv,nothing,cluster1,0
hvac,lochouse,coassis,locally,nothing,cluster1,0
assis,preshouse,locsens,locally,reco,cluster1,0
light,lochouse,cowash,share,reco,cluster1,0
tv,opauto,cam,remserv,opti,cluster1,0
assis,opauto,colight,share,nothing,cluster1,0
alarm,alert,micro,remserv,insight,cluster1,0
light,opauto,cowash,locally,insight,cluster2,1
wash,alert,micro,share,insight,cluster2,0
hvac,preshouse,corefri,locally,nothing,cluster2,1
hvac,opauto,cam,share,opti,cluster2,1
wash,lochouse,cohvac,locally,opti,cluster2,0
assis,lochouse,cosecu,share,nothing,cluster2,0
alarm,opauto,cotv,remserv,insight,cluster2,0
light,preshouse,watch,share,reco,cluster2,0
tv,lochouse,coassis,remserv,opti,cluster2,0
refr,preshouse,locsens,remserv,nothing,cluster2,0
secu,alert,coalarm,remserv,reco,cluster2,0
assis,alert,colight,locally,reco,cluster2,1
light,alert,cotv,share,nothing,cluster3,1
alarm,lochouse,corefri,remserv,reco,cluster3,1
hvac,alert,locsens,locally,opti,cluster3,1
wash,preshouse,cam,locally,insight,cluster3,1
assis,alert,watch,remserv,opti,cluster3,1
refr,preshouse,cowash,share,opti,cluster3,1
hvac,lochouse,colight,share,insight,cluster3,1
wash,opauto,coassis,share,reco,cluster3,1
tv,preshouse,cosecu,remserv,insight,cluster3,1
light,lochouse,micro,locally,reco,cluster3,1
refr,opauto,coalarm,locally,nothing,cluster3,1
secu,opauto,cohvac,remserv,nothing,cluster3,1
alarm,alert,micro,share,reco,cluster0,0
wash,opauto,cotv,remserv,reco,cluster0,0
tv,preshouse,corefri,locally,opti,cluster0,1
light,alert,coalarm,remserv,nothing,cluster0,1
assis,alert,cosecu,locally,nothing,cluster0,0
hvac,lochouse,coassis,remserv,insight,cluster0,0
assis,lochouse,locsens,share,opti,cluster0,0
secu,preshouse,watch,share,nothing,cluster0,0
alarm,lochouse,cohvac,locally,insight,cluster0,0
tv,opauto,cam,share,insight,cluster0,0
secu,opauto,cowash,locally,reco,cluster0,0
refr,preshouse,colight,remserv,opti,cluster0,0
tv,alert,coalarm,locally,reco,cluster2,1
assis,opauto,cotv,locally,insight,cluster2,1
hvac,preshouse,watch,remserv,nothing,cluster2,1
tv,lochouse,cowash,share,nothing,cluster2,0
wash,preshouse,colight,locally,nothing,cluster2,0
assis,preshouse,cohvac,share,reco,cluster2,0
alarm,lochouse,locsens,remserv,opti,cluster2,1
light,lochouse,coassis,locally,opti,cluster2,0
secu,opauto,cam,remserv,insight,cluster2,1
light,alert,corefri,share,insight,cluster2,0
refr,alert,micro,remserv,reco,cluster2,1
wash,opauto,cosecu,share,opti,cluster2,0
alarm,lochouse,cowash,remserv,insight,cluster3,1
tv,preshouse,cohvac,remserv,opti,cluster3,0
hvac,lochouse,cotv,share,opti,cluster3,1
refr,alert,coassis,remserv,nothing,cluster3,1
light,alert,locsens,share,reco,cluster3,1
assis,preshouse,cam,share,nothing,cluster3,1
assis,opauto,corefri,locally,reco,cluster3,1
secu,opauto,colight,remserv,reco,cluster3,1
wash,opauto,coalarm,share,insight,cluster3,1
hvac,alert,micro,locally,nothing,cluster3,1
wash,preshouse,watch,locally,opti,cluster3,1
light,lochouse,cosecu,locally,insight,cluster3,1
wash,alert,cohvac,share,opti,cluster1,0
assis,alert,locsens,locally,insight,cluster1,1
wash,lochouse,cotv,locally,nothing,cluster1,0
hvac,lochouse,corefri,remserv,nothing,cluster1,0
light,preshouse,cowash,share,insight,cluster1,0
assis,lochouse,colight,share,reco,cluster1,0
alarm,opauto,micro,remserv,opti,cluster1,1
tv,preshouse,cam,locally,reco,cluster1,0
tv,opauto,coassis,share,nothing,cluster1,0
secu,alert,watch,remserv,insight,cluster1,1
light,opauto,coalarm,locally,opti,cluster1,0
refr,preshouse,cosecu,remserv,reco,cluster1,0
refr,opauto,coassis,remserv,opti,cluster2,1
wash,preshouse,coalarm,remserv,reco,cluster2,1
assis,alert,cam,share,opti,cluster2,0
light,lochouse,locsens,remserv,nothing,cluster2,1
alarm,lochouse,watch,share,reco,cluster2,0
hvac,alert,cotv,remserv,insight,cluster2,1
secu,preshouse,colight,locally,reco,cluster2,1
assis,lochouse,corefri,locally,nothing,cluster2,1
tv,preshouse,micro,share,insight,cluster2,0
tv,opauto,cohvac,locally,opti,cluster2,1
alarm,alert,cowash,locally,insight,cluster2,1
secu,opauto,cosecu,share,nothing,cluster2,0
wash,lochouse,coassis,share,reco,cluster3,1
tv,alert,cosecu,remserv,insight,cluster3,1
refr,alert,cowash,share,opti,cluster3,1
hvac,preshouse,colight,share,insight,cluster3,1
light,opauto,cotv,share,nothing,cluster3,1
secu,lochouse,cohvac,remserv,nothing,cluster3,0
refr,lochouse,coalarm,locally,nothing,cluster3,1
alarm,preshouse,corefri,remserv,reco,cluster3,1
assis,opauto,watch,remserv,opti,cluster3,0
wash,alert,cam,locally,insight,cluster3,1
light,preshouse,micro,locally,reco,cluster3,1
hvac,opauto,locsens,locally,opti,cluster3,0
tv,lochouse,cosecu,share,reco,cluster2,0
tv,alert,colight,locally,insight,cluster2,1
wash,lochouse,cam,remserv,nothing,cluster2,0
hvac,preshouse,locsens,remserv,reco,cluster2,0
secu,opauto,cotv,remserv,opti,cluster2,1
assis,opauto,cowash,locally,opti,cluster2,1
alarm,opauto,corefri,share,nothing,cluster2,0
assis,preshouse,watch,share,insight,cluster2,0
light,alert,micro,share,opti,cluster2,0
alarm,preshouse,coassis,locally,reco,cluster2,1
light,lochouse,cohvac,locally,nothing,cluster2,1
refr,alert,coalarm,remserv,insight,cluster2,1
alarm,alert,colight,locally,reco,cluster2,1
refr,opauto,cotv,remserv,insight,cluster2,0
assis,alert,micro,share,insight,cluster2,0
light,preshouse,corefri,locally,nothing,cluster2,1
alarm,lochouse,cosecu,share,nothing,cluster2,0
hvac,alert,coalarm,remserv,reco,cluster2,1
tv,opauto,cowash,locally,insight,cluster2,1
assis,lochouse,cohvac,locally,opti,cluster2,1
secu,lochouse,coassis,remserv,opti,cluster2,1
light,opauto,cam,share,opti,cluster2,0
tv,preshouse,watch,share,reco,cluster2,0
wash,preshouse,locsens,remserv,nothing,cluster2,0
refr,lochouse,locsens,share,opti,cluster0,0
assis,preshouse,colight,remserv,opti,cluster0,1
light,preshouse,watch,share,nothing,cluster0,1
refr,alert,cosecu,locally,nothing,cluster0,0
wash,alert,micro,share,reco,cluster0,0
hvac,opauto,cam,share,insight,cluster0,0
light,opauto,cowash,locally,reco,cluster0,0
tv,lochouse,coassis,remserv,insight,cluster0,0
wash,lochouse,cohvac,locally,insight,cluster0,0
hvac,preshouse,corefri,locally,opti,cluster0,0
alarm,opauto,cotv,remserv,reco,cluster0,0
secu,alert,coalarm,remserv,nothing,cluster0,1
light,opauto,cotv,share,reco,cluster2,0
tv,alert,cosecu,remserv,opti,cluster2,1
assis,alert,coalarm,share,nothing,cluster2,0
refr,opauto,cowash,remserv,nothing,cluster2,1
wash,lochouse,coassis,share,insight,cluster2,0
assis,lochouse,watch,locally,reco,cluster2,0
hvac,preshouse,colight,share,opti,cluster2,0
wash,alert,cam,locally,opti,cluster2,1
alarm,preshouse,corefri,remserv,insight,cluster2,1
secu,lochouse,cohvac,remserv,reco,cluster2,0
light,preshouse,micro,locally,insight,cluster2,1
hvac,opauto,locsens,locally,nothing,cluster2,1
hvac,opauto,colight,locally,opti,cluster0,0
wash,alert,coassis,locally,insight,cluster0,1
refr,lochouse,cowash,locally,nothing,cluster0,0
light,preshouse,cotv,locally,reco,cluster0,0
tv,alert,locsens,remserv,insight,cluster0,0
alarm,preshouse,cam,remserv,reco,cluster0,0
wash,lochouse,corefri,share,reco,cluster0,0
refr,alert,watch,share,opti,cluster0,0
light,opauto,cohvac,share,nothing,cluster0,0
secu,lochouse,micro,remserv,nothing,cluster0,0
hvac,preshouse,cosecu,share,insight,cluster0,0
assis,opauto,coalarm,remserv,opti,cluster0,0
secu,lochouse,watch,locally,nothing,cluster2,1
hvac,lochouse,cam,share,reco,cluster2,0
refr,opauto,cosecu,locally,opti,cluster2,1
wash,opauto,micro,share,nothing,cluster2,0
tv,preshouse,coassis,remserv,reco,cluster2,0
hvac,alert,corefri,locally,insight,cluster2,1
light,opauto,cowash,remserv,opti,cluster2,0
refr,preshouse,locsens,share,insight,cluster2,0
assis,alert,colight,remserv,insight,cluster2,1
secu,alert,coalarm,share,opti,cluster2,0
alarm,lochouse,cotv,remserv,nothing,cluster2,0
wash,preshouse,cohvac,locally,reco,cluster2,0
refr,lochouse,cotv,remserv,insight,cluster2,1
secu,preshouse,coassis,remserv,opti,cluster2,1
alarm,preshouse,cosecu,share,nothing,cluster2,0
wash,alert,locsens,remserv,nothing,cluster2,1
hvac,opauto,coalarm,remserv,reco,cluster2,1
tv,lochouse,cowash,locally,insight,cluster2,0
assis,opauto,micro,share,insight,cluster2,1
light,lochouse,cam,share,opti,cluster2,1
assis,preshouse,cohvac,locally,opti,cluster2,1
alarm,opauto,colight,locally,reco,cluster2,1
light,alert,corefri,locally,nothing,cluster2,1
tv,alert,watch,share,reco,cluster2,1
hvac,preshouse,micro,locally,nothing,cluster2,1
refr,preshouse,coassis,remserv,nothing,cluster2,0
assis,alert,corefri,locally,reco,cluster2,0
wash,lochouse,watch,locally,opti,cluster2,0
light,opauto,cosecu,locally,insight,cluster2,1
assis,lochouse,cam,share,nothing,cluster2,0
secu,alert,colight,remserv,reco,cluster2,0
light,preshouse,locsens,share,reco,cluster2,0
alarm,opauto,cowash,remserv,insight,cluster2,0
tv,lochouse,cohvac,remserv,opti,cluster2,0
hvac,opauto,cotv,share,opti,cluster2,0
wash,alert,coalarm,share,insight,cluster2,0
assis,opauto,cotv,share,nothing,cluster3,1
wash,preshouse,colight,share,insight,cluster3,0
hvac,lochouse,coalarm,locally,nothing,cluster3,1
alarm,alert,cosecu,remserv,insight,cluster3,1
hvac,alert,cowash,share,opti,cluster3,0
tv,opauto,watch,remserv,opti,cluster3,1
light,alert,cam,locally,insight,cluster3,0
refr,lochouse,cohvac,remserv,nothing,cluster3,0
secu,preshouse,corefri,remserv,reco,cluster3,1
light,lochouse,coassis,share,reco,cluster3,1
assis,preshouse,micro,locally,reco,cluster3,1
wash,opauto,locsens,locally,opti,cluster3,0
secu,alert,colight,locally,reco,cluster2,0
light,preshouse,locsens,remserv,nothing,cluster2,0
alarm,opauto,cowash,locally,insight,cluster2,0
hvac,opauto,cotv,remserv,insight,cluster2,0
alarm,preshouse,watch,share,reco,cluster2,0
assis,preshouse,corefri,locally,nothing,cluster2,0
wash,alert,coalarm,remserv,reco,cluster2,0
secu,lochouse,cosecu,share,nothing,cluster2,0
assis,opauto,cam,share,opti,cluster2,0
tv,lochouse,cohvac,locally,opti,cluster2,0
tv,alert,micro,share,insight,cluster2,0
refr,lochouse,coassis,remserv,opti,cluster2,0
secu,opauto,watch,share,insight,cluster2,0
assis,opauto,locsens,remserv,reco,cluster2,1
hvac,preshouse,corefri,share,nothing,cluster2,0
wash,preshouse,cotv,remserv,opti,cluster2,1
light,lochouse,coalarm,remserv,insight,cluster2,1
alarm,lochouse,micro,share,opti,cluster2,0
tv,alert,cam,remserv,nothing,cluster2,0
refr,lochouse,colight,locally,insight,cluster2,1
secu,preshouse,cowash,locally,opti,cluster2,0
alarm,alert,cohvac,locally,nothing,cluster2,1
hvac,opauto,coassis,locally,reco,cluster2,0
refr,alert,cosecu,share,reco,cluster2,0
light,lochouse,cotv,share,reco,cluster2,0
assis,preshouse,watch,locally,reco,cluster2,0
hvac,alert,colight,share,opti,cluster2,0
tv,opauto,cosecu,remserv,opti,cluster2,1
refr,lochouse,cowash,remserv,nothing,cluster2,0
wash,opauto,cam,locally,opti,cluster2,1
assis,opauto,coalarm,share,nothing,cluster2,0
wash,preshouse,coassis,share,insight,cluster2,0
hvac,lochouse,locsens,locally,nothing,cluster2,0
light,alert,micro,locally,insight,cluster2,1
alarm,alert,corefri,remserv,insight,cluster2,1
secu,preshouse,cohvac,remserv,reco,cluster2,0
alarm,preshouse,colight,remserv,insight,cluster0,0
light,preshouse,corefri,locally,insight,cluster0,0
refr,opauto,cotv,remserv,nothing,cluster0,0
wash,lochouse,locsens,share,insight,cluster0,0
assis,alert,micro,share,nothing,cluster0,0
assis,lochouse,cohvac,locally,reco,cluster0,0
hvac,opauto,watch,locally,nothing,cluster0,1
light,opauto,cam,share,reco,cluster0,0
hvac,preshouse,coalarm,share,opti,cluster0,0
wash,alert,cosecu,locally,opti,cluster0,0
secu,lochouse,coassis,remserv,reco,cluster0,0
tv,alert,cowash,remserv,opti,cluster0,0
refr,opauto,cotv,remserv,reco,cluster3,1
light,opauto,cam,share,insight,cluster3,1
assis,alert,micro,share,reco,cluster3,1
wash,alert,cosecu,locally,nothing,cluster3,1
hvac,alert,coalarm,remserv,nothing,cluster3,1
tv,opauto,cowash,locally,reco,cluster3,1
wash,lochouse,locsens,share,opti,cluster3,1
alarm,preshouse,colight,remserv,opti,cluster3,1
tv,preshouse,watch,share,nothing,cluster3,1
secu,lochouse,coassis,remserv,insight,cluster3,1
assis,lochouse,cohvac,locally,insight,cluster3,1
light,preshouse,corefri,locally,opti,cluster3,1
light,preshouse,watch,share,opti,cluster1,0
alarm,alert,cohvac,share,nothing,cluster1,0
assis,alert,colight,locally,opti,cluster1,1
tv,preshouse,coassis,locally,insight,cluster1,1
hvac,lochouse,cam,remserv,reco,cluster1,0
secu,alert,coalarm,remserv,opti,cluster1,0
assis,lochouse,cosecu,share,insight,cluster1,0
refr,preshouse,locsens,remserv,insight,cluster1,0
wash,opauto,micro,remserv,nothing,cluster1,1
alarm,lochouse,cotv,locally,reco,cluster1,0
tv,opauto,corefri,share,reco,cluster1,0
light,opauto,cowash,locally,nothing,cluster1,0
refr,opauto,micro,share,reco,cluster2,1
hvac,lochouse,cowash,locally,reco,cluster2,1
alarm,opauto,cosecu,locally,nothing,cluster2,1
hvac,alert,watch,share,nothing,cluster2,0
secu,lochouse,cam,share,insight,cluster2,1
refr,preshouse,cohvac,locally,insight,cluster2,1
light,preshouse,coassis,remserv,insight,cluster2,1
tv,opauto,coalarm,remserv,nothing,cluster2,1
assis,lochouse,cotv,remserv,reco,cluster2,1
alarm,preshouse,locsens,share,opti,cluster2,0
wash,alert,colight,remserv,opti,cluster2,1
secu,alert,corefri,locally,opti,cluster2,1
alarm,opauto,cohvac,share,insight,cluster2,0
secu,lochouse,coalarm,locally,insight,cluster2,1
tv,alert,coassis,locally,nothing,cluster2,1
light,opauto,watch,remserv,reco,cluster2,1
refr,opauto,locsens,locally,reco,cluster2,0
alarm,preshouse,cotv,locally,opti,cluster2,1
secu,alert,cowash,share,reco,cluster2,0
tv,lochouse,corefri,share,opti,cluster2,0
refr,preshouse,colight,share,nothing,cluster2,0
assis,alert,cosecu,remserv,nothing,cluster2,1
wash,lochouse,micro,remserv,insight,cluster2,0
hvac,preshouse,cam,remserv,opti,cluster2,1
alarm,lochouse,coalarm,locally,nothing,cluster2,0
assis,preshouse,corefri,remserv,reco,cluster2,0
alarm,alert,cowash,share,opti,cluster2,0
wash,opauto,watch,remserv,opti,cluster2,1
refr,alert,cam,locally,insight,cluster2,0
hvac,opauto,cotv,share,nothing,cluster2,0
tv,lochouse,cohvac,remserv,nothing,cluster2,0
hvac,preshouse,micro,locally,reco,cluster2,0
secu,preshouse,colight,share,insight,cluster2,0
refr,lochouse,coassis,share,reco,cluster2,0
light,alert,cosecu,remserv,insight,cluster2,0
secu,opauto,locsens,locally,opti,cluster2,1
assis,lochouse,cowash,share,insight,cluster0,0
light,preshouse,cohvac,share,opti,cluster0,0
secu,alert,micro,remserv,opti,cluster0,0
light,opauto,cotv,locally,nothing,cluster0,1
alarm,lochouse,cam,locally,reco,cluster0,0
wash,opauto,corefri,remserv,nothing,cluster0,0
hvac,lochouse,cosecu,remserv,reco,cluster0,0
alarm,alert,coassis,share,nothing,cluster0,0
assis,alert,coalarm,locally,opti,cluster0,1
tv,opauto,colight,share,reco,cluster0,0
tv,preshouse,locsens,locally,insight,cluster0,0
refr,preshouse,watch,remserv,insight,cluster0,0
tv,alert,coassis,locally,insight,cluster3,0
light,alert,watch,share,opti,cluster3,0
refr,alert,locsens,remserv,insight,cluster3,0
hvac,preshouse,cam,remserv,reco,cluster3,1
alarm,opauto,cohvac,share,nothing,cluster3,1
secu,opauto,coalarm,remserv,opti,cluster3,1
alarm,preshouse,cotv,locally,reco,cluster3,1
assis,preshouse,cosecu,share,insight,cluster3,1
light,lochouse,cowash,locally,nothing,cluster3,1
wash,lochouse,micro,remserv,nothing,cluster3,0
assis,opauto,colight,locally,opti,cluster3,1
tv,lochouse,corefri,share,reco,cluster3,0
wash,preshouse,corefri,locally,nothing,cluster0,0
wash,opauto,cam,share,opti,cluster0,0
alarm,lochouse,coassis,remserv,opti,cluster0,1
assis,preshouse,watch,share,reco,cluster0,0
tv,alert,colight,locally,reco,cluster0,1
tv,lochouse,cosecu,share,nothing,cluster0,0
light,lochouse,cohvac,locally,opti,cluster0,1
secu,opauto,cotv,remserv,insight,cluster0,0
light,alert,micro,share,insight,cluster0,0
hvac,preshouse,locsens,remserv,nothing,cluster0,0
refr,alert,coalarm,remserv,reco,cluster0,0
assis,opauto,cowash,locally,insight,cluster0,1
refr,alert,locsens,locally,insight,cluster2,0
secu,opauto,coalarm,locally,opti,cluster2,1
hvac,opauto,coassis,share,nothing,cluster2,0
alarm,alert,cohvac,share,opti,cluster2,0
light,alert,watch,remserv,insight,cluster2,0
alarm,lochouse,cotv,locally,nothing,cluster2,0
secu,preshouse,cowash,share,insight,cluster2,0
assis,preshouse,cosecu,remserv,reco,cluster2,1
refr,lochouse,colight,share,reco,cluster2,0
wash,opauto,micro,remserv,opti,cluster2,1
hvac,preshouse,cam,locally,reco,cluster2,1
tv,lochouse,corefri,remserv,nothing,cluster2,0
assis,alert,corefri,share,nothing,cluster1,0
secu,lochouse,locsens,remserv,reco,cluster1,0
light,opauto,cosecu,share,reco,cluster1,0
hvac,opauto,cohvac,locally,nothing,cluster1,1
refr,opauto,cam,remserv,nothing,cluster1,0
tv,alert,cotv,remserv,opti,cluster1,1
wash,lochouse,watch,share,insight,cluster1,0
wash,alert,cowash,locally,opti,cluster1,0
assis,lochouse,coassis,locally,reco,cluster1,0
hvac,preshouse,micro,share,opti,cluster1,0
alarm,preshouse,coalarm,remserv,insight,cluster1,0
light,preshouse,colight,locally,insight,cluster1,0
light,alert,colight,remserv,nothing,cluster1,0
alarm,lochouse,watch,locally,insight,cluster1,1
secu,preshouse,locsens,share,nothing,cluster1,0
assis,alert,cam,locally,nothing,cluster1,0
refr,preshouse,corefri,remserv,opti,cluster1,0
hvac,lochouse,cohvac,remserv,insight,cluster1,0
assis,lochouse,coassis,share,opti,cluster1,0
secu,opauto,cosecu,locally,reco,cluster1,0
alarm,alert,coalarm,share,reco,cluster1,0
tv,opauto,cotv,share,insight,cluster1,0
tv,preshouse,micro,locally,opti,cluster1,0
wash,opauto,cowash,remserv,reco,cluster1,1
alarm,preshouse,cotv,share,opti,cluster2,0
wash,alert,cohvac,remserv,opti,cluster2,1
refr,preshouse,cosecu,locally,insight,cluster2,1
light,preshouse,cowash,remserv,insight,cluster2,0
assis,lochouse,colight,remserv,reco,cluster2,1
secu,lochouse,coalarm,share,insight,cluster2,0
alarm,opauto,micro,locally,nothing,cluster2,1
secu,alert,watch,locally,opti,cluster2,1
refr,opauto,locsens,share,reco,cluster2,0
hvac,alert,cam,share,nothing,cluster2,0
tv,opauto,coassis,remserv,nothing,cluster2,0
hvac,lochouse,corefri,locally,reco,cluster2,1
light,alert,locsens,locally,nothing,cluster3,1
assis,preshouse,cam,locally,opti,cluster3,1
tv,lochouse,micro,locally,insight,cluster3,1
alarm,preshouse,coalarm,share,nothing,cluster3,0
refr,lochouse,corefri,remserv,insight,cluster3,1
wash,alert,cowash,remserv,nothing,cluster3,1
light,lochouse,colight,share,opti,cluster3,0
alarm,opauto,watch,locally,reco,cluster3,1
assis,opauto,coassis,share,insight,cluster3,0
