@relation '4Cluster-weka.filters.unsupervised.attribute.NumericToNominal-R2-9-weka.filters.unsupervised.attribute.Reorder-R1-7,9,8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute cluster {cluster2,cluster3,cluster0,cluster1}
@attribute decision {0,1}

@data
wash,alert,locsens,share,nothing,cluster3,1
secu,opauto,cam,locally,nothing,cluster3,1
refr,alert,micro,locally,opti,cluster3,1
tv,opauto,colight,remserv,nothing,cluster2,1
alarm,opauto,cam,locally,nothing,cluster2,0
assis,lochouse,cowash,remserv,reco,cluster2,0
refr,preshouse,watch,locally,insight,cluster2,0
light,preshouse,cohvac,remserv,insight,cluster2,1
hvac,alert,locsens,share,nothing,cluster2,0
secu,lochouse,cotv,share,insight,cluster2,0
alarm,preshouse,coassis,share,opti,cluster2,0
refr,opauto,coalarm,share,reco,cluster2,1
hvac,lochouse,cosecu,locally,reco,cluster2,1
secu,alert,micro,locally,opti,cluster2,0
wash,alert,corefri,remserv,opti,cluster2,0
light,alert,colight,locally,insight,cluster0,1
wash,preshouse,watch,share,insight,cluster0,0
assis,preshouse,coassis,locally,reco,cluster0,1
refr,lochouse,cam,remserv,nothing,cluster0,0
hvac,lochouse,cohvac,locally,nothing,cluster0,1
wash,opauto,cowash,locally,opti,cluster0,1
secu,preshouse,locsens,remserv,reco,cluster0,0
light,lochouse,cosecu,share,reco,cluster0,0
assis,opauto,corefri,share,nothing,cluster0,0
hvac,alert,micro,share,opti,cluster0,0
alarm,alert,coalarm,remserv,insight,cluster0,1
tv,opauto,cotv,remserv,opti,cluster0,1
tv,opauto,cosecu,remserv,nothing,cluster2,0
alarm,preshouse,corefri,share,opti,cluster2,0
hvac,lochouse,locsens,locally,reco,cluster2,1
secu,alert,cotv,locally,opti,cluster2,1
light,preshouse,micro,remserv,insight,cluster2,0
alarm,opauto,coassis,locally,nothing,cluster2,1
secu,lochouse,cohvac,share,insight,cluster2,0
wash,alert,cam,remserv,opti,cluster2,1
refr,opauto,cowash,share,reco,cluster2,0
hvac,alert,colight,share,nothing,cluster2,1
assis,lochouse,watch,remserv,reco,cluster2,0
refr,preshouse,coalarm,locally,insight,cluster2,1
hvac,preshouse,locsens,remserv,insight,cluster2,1
alarm,preshouse,coassis,locally,insight,cluster2,1
assis,preshouse,watch,share,opti,cluster2,0
light,opauto,micro,remserv,nothing,cluster2,1
assis,opauto,cowash,locally,nothing,cluster2,1
