@relation 'iot_yang_fixed-weka.filters.unsupervised.attribute.Remove-R2-4,6-17-weka.filters.unsupervised.attribute.Reorder-R1,3-8,2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
hvac,lochouse,locsens,locally,reco,1
secu,alert,cotv,locally,opti,1
light,preshouse,micro,remserv,insight,0
alarm,opauto,coassis,locally,nothing,1
secu,lochouse,cohvac,share,insight,0
wash,alert,cam,remserv,opti,1
refr,opauto,cowash,share,reco,0
hvac,alert,colight,share,nothing,1
assis,lochouse,watch,remserv,reco,0
refr,preshouse,coalarm,locally,insight,1
hvac,preshouse,locsens,remserv,insight,1
alarm,preshouse,coassis,locally,insight,1
assis,preshouse,watch,share,opti,0
light,opauto,micro,remserv,nothing,1
assis,opauto,cowash,locally,nothing,1
tv,alert,colight,locally,opti,1
tv,lochouse,cosecu,share,insight,0
secu,lochouse,cotv,locally,reco,1
secu,alert,cohvac,share,nothing,1
wash,lochouse,cam,remserv,reco,0
alarm,opauto,corefri,share,reco,0
refr,alert,coalarm,remserv,opti,0
assis,preshouse,watch,locally,nothing,1
secu,alert,cohvac,locally,reco,0
tv,alert,locsens,share,insight,0
wash,alert,coassis,remserv,reco,1
refr,lochouse,cowash,remserv,opti,0
assis,opauto,coalarm,share,opti,0
alarm,preshouse,cam,share,reco,0
secu,lochouse,micro,share,nothing,0
light,preshouse,cotv,remserv,nothing,0
alarm,opauto,corefri,locally,insight,0
tv,lochouse,cosecu,locally,opti,1
hvac,opauto,colight,remserv,insight,0
tv,alert,locsens,share,nothing,0
assis,opauto,coalarm,share,reco,1
refr,lochouse,cowash,remserv,reco,1
alarm,alert,corefri,remserv,opti,1
secu,preshouse,cohvac,remserv,insight,0
wash,opauto,cam,locally,nothing,0
hvac,opauto,colight,remserv,nothing,0
assis,preshouse,watch,locally,insight,1
light,lochouse,cotv,share,insight,0
wash,preshouse,coassis,share,opti,1
tv,lochouse,cosecu,locally,reco,1
light,alert,micro,locally,opti,0
hvac,opauto,cam,remserv,nothing,0
secu,preshouse,coalarm,remserv,insight,0
light,alert,cowash,locally,opti,1
assis,opauto,cosecu,share,reco,0
assis,preshouse,colight,locally,insight,1
tv,lochouse,coassis,locally,reco,0
wash,opauto,cohvac,locally,nothing,1
wash,preshouse,micro,share,opti,0
light,lochouse,watch,share,insight,1
alarm,alert,cotv,remserv,opti,0
refr,lochouse,locsens,remserv,reco,1
tv,alert,corefri,share,nothing,0
alarm,preshouse,cowash,locally,nothing,0
refr,opauto,coassis,locally,insight,0
hvac,alert,cotv,locally,reco,0
wash,lochouse,coalarm,remserv,opti,0
secu,alert,cosecu,share,insight,0
hvac,lochouse,cohvac,share,nothing,0
secu,lochouse,colight,locally,opti,1
assis,alert,cam,remserv,reco,1
refr,preshouse,corefri,share,reco,0
tv,preshouse,micro,remserv,nothing,0
alarm,opauto,watch,share,opti,0
light,opauto,locsens,remserv,insight,1
secu,opauto,coassis,remserv,nothing,0
tv,preshouse,cowash,remserv,insight,0
light,alert,cam,share,nothing,0
refr,opauto,micro,locally,nothing,1
refr,preshouse,cotv,share,opti,0
light,lochouse,corefri,locally,reco,0
wash,opauto,locsens,share,reco,0
alarm,lochouse,colight,remserv,reco,1
hvac,lochouse,coalarm,share,insight,0
hvac,alert,watch,locally,opti,1
wash,preshouse,cosecu,locally,insight,1
assis,alert,cohvac,remserv,opti,1
light,lochouse,corefri,remserv,opti,0
refr,alert,cotv,share,insight,0
assis,opauto,cohvac,remserv,insight,0
tv,alert,cowash,remserv,reco,0
secu,opauto,coassis,share,opti,0
secu,preshouse,cam,locally,nothing,0
hvac,opauto,watch,locally,insight,0
wash,lochouse,locsens,share,nothing,0
alarm,preshouse,colight,remserv,nothing,0
hvac,preshouse,coalarm,share,reco,0
wash,alert,cosecu,locally,reco,0
refr,lochouse,micro,locally,opti,0
light,opauto,locsens,locally,insight,1
refr,preshouse,corefri,remserv,nothing,0
light,preshouse,colight,share,reco,1
tv,lochouse,micro,remserv,opti,1
hvac,preshouse,cotv,locally,nothing,1
assis,lochouse,coassis,share,nothing,1
assis,alert,cam,locally,reco,1
wash,alert,cowash,share,insight,1
secu,alert,cosecu,remserv,reco,1
wash,lochouse,coalarm,locally,opti,1
alarm,opauto,watch,remserv,insight,1
hvac,opauto,cohvac,share,opti,1
