@relation 'Framing2-weka.filters.unsupervised.attribute.Remove-R1-4,6-17,20-weka.filters.unsupervised.attribute.Reorder-R2-6,1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute whof {tv,secu,light,refr,alarm,assis,wash,hvac}
@attribute purposef {opauto,preshouse,alert,lochouse}
@attribute whatf {cosecu,cohvac,micro,coalarm,cotv,corefri,watch,coassis,cam,cowash,colight,locsens}
@attribute cstore {share,remserv,locally}
@attribute caction {insight,nothing,opti,reco}
@attribute decision {0,1}

@data
alarm,opauto,coassis,locally,reco,1
assis,preshouse,cowash,locally,opti,1
hvac,opauto,locsens,remserv,reco,1
tv,lochouse,colight,locally,insight,1
assis,opauto,watch,share,insight,0
wash,alert,cam,remserv,nothing,0
light,lochouse,micro,share,opti,0
tv,lochouse,cowash,remserv,insight,0
hvac,opauto,coalarm,share,insight,1
alarm,opauto,colight,remserv,reco,1
assis,preshouse,cohvac,remserv,opti,1
wash,lochouse,cosecu,locally,insight,1
refr,alert,micro,locally,nothing,1
light,opauto,corefri,locally,reco,0
light,preshouse,cam,share,nothing,0
hvac,preshouse,watch,locally,opti,1
secu,alert,coassis,remserv,nothing,1
wash,alert,locsens,share,reco,0
refr,lochouse,cotv,share,opti,0
light,alert,locsens,locally,opti,0
assis,preshouse,cam,locally,insight,0
wash,preshouse,cowash,share,opti,0
wash,opauto,coalarm,locally,nothing,1
secu,preshouse,cosecu,remserv,insight,0
light,lochouse,colight,share,insight,0
hvac,opauto,cohvac,remserv,nothing,0
alarm,alert,watch,remserv,opti,1
tv,lochouse,micro,locally,reco,0
refr,lochouse,corefri,remserv,reco,0
assis,opauto,coassis,share,reco,0
tv,alert,cotv,share,nothing,0
secu,opauto,corefri,locally,reco,1
alarm,lochouse,cosecu,locally,insight,1
secu,preshouse,cam,share,nothing,0
tv,opauto,coalarm,share,insight,0
hvac,lochouse,cowash,remserv,insight,1
assis,alert,micro,locally,nothing,1
wash,opauto,colight,remserv,reco,1
refr,preshouse,cohvac,remserv,opti,1
alarm,alert,locsens,share,reco,0
light,alert,coassis,remserv,nothing,1
assis,lochouse,cotv,share,opti,0
tv,preshouse,watch,locally,opti,1
refr,preshouse,cosecu,locally,opti,1
tv,opauto,coassis,remserv,reco,1
wash,opauto,cohvac,locally,reco,1
hvac,lochouse,corefri,locally,insight,0
light,preshouse,cowash,remserv,opti,1
secu,lochouse,coalarm,share,opti,0
refr,opauto,locsens,share,insight,0
alarm,alert,cotv,remserv,nothing,1
wash,preshouse,micro,share,nothing,0
hvac,alert,cam,share,reco,0
assis,lochouse,colight,remserv,insight,1
secu,alert,watch,locally,nothing,1
refr,opauto,locsens,share,insight,0
light,preshouse,cowash,remserv,opti,1
secu,lochouse,coalarm,share,opti,1
wash,preshouse,micro,share,nothing,1
hvac,alert,cam,share,reco,1
secu,alert,watch,locally,nothing,1
assis,lochouse,colight,remserv,insight,1
refr,preshouse,cosecu,locally,opti,1
tv,opauto,coassis,remserv,reco,1
hvac,lochouse,corefri,locally,insight,1
alarm,alert,cotv,remserv,nothing,1
wash,opauto,cohvac,locally,reco,1
light,lochouse,colight,locally,insight,1
assis,preshouse,corefri,share,nothing,0
alarm,lochouse,coalarm,remserv,insight,0
wash,preshouse,cowash,locally,opti,1
refr,alert,cam,remserv,nothing,1
hvac,alert,cohvac,locally,nothing,1
tv,preshouse,cotv,remserv,opti,0
hvac,lochouse,micro,share,opti,0
secu,opauto,locsens,remserv,reco,1
assis,opauto,coassis,locally,reco,0
light,alert,cosecu,share,reco,1
wash,opauto,watch,share,insight,1
alarm,preshouse,cowash,share,nothing,0
secu,preshouse,locsens,remserv,opti,1
assis,preshouse,coassis,locally,opti,1
refr,lochouse,cam,remserv,insight,0
tv,alert,cohvac,share,reco,0
tv,lochouse,cotv,locally,insight,1
alarm,opauto,coalarm,locally,reco,1
light,lochouse,cosecu,share,opti,1
assis,opauto,corefri,share,insight,1
light,alert,colight,locally,nothing,1
hvac,opauto,micro,remserv,reco,0
wash,alert,watch,remserv,nothing,1
assis,lochouse,micro,locally,reco,1
light,opauto,coassis,share,reco,0
hvac,preshouse,cowash,share,opti,0
hvac,opauto,coalarm,locally,nothing,1
wash,alert,locsens,locally,opti,1
light,preshouse,cam,locally,insight,0
refr,opauto,cohvac,remserv,nothing,0
wash,lochouse,colight,share,insight,0
alarm,preshouse,cosecu,remserv,insight,1
tv,alert,watch,remserv,opti,1
secu,lochouse,corefri,remserv,reco,1
assis,alert,cotv,share,nothing,1
tv,alert,cosecu,locally,nothing,0
alarm,opauto,cam,share,insight,0
assis,alert,coalarm,remserv,nothing,0
hvac,preshouse,colight,remserv,opti,0
wash,lochouse,coassis,remserv,insight,0
refr,opauto,cowash,locally,reco,0
secu,lochouse,cohvac,locally,insight,0
alarm,preshouse,corefri,locally,opti,0
light,opauto,cotv,remserv,reco,0
secu,alert,micro,share,reco,0
tv,lochouse,locsens,share,opti,0
refr,preshouse,watch,share,nothing,0
assis,preshouse,coalarm,locally,opti,1
alarm,opauto,cam,locally,reco,1
hvac,opauto,cosecu,remserv,reco,0
light,lochouse,cohvac,share,opti,0
assis,opauto,cowash,share,insight,0
alarm,preshouse,coassis,share,nothing,0
wash,alert,corefri,remserv,nothing,1
tv,alert,colight,share,reco,0
tv,lochouse,locsens,locally,insight,1
light,alert,cotv,locally,nothing,1
secu,preshouse,micro,remserv,opti,0
refr,lochouse,watch,remserv,insight,1
secu,lochouse,colight,share,opti,0
wash,opauto,watch,locally,reco,0
hvac,lochouse,micro,locally,insight,1
assis,lochouse,corefri,remserv,insight,1
wash,preshouse,coalarm,share,nothing,1
refr,preshouse,cam,locally,opti,0
tv,opauto,cohvac,remserv,reco,0
alarm,alert,cowash,remserv,nothing,1
hvac,alert,cotv,share,reco,0
secu,alert,locsens,locally,nothing,1
